Smallest breed of dog, Chihuahua	is	1.73205080756888	kg
Typical laptop computer, 2010	is	1.73205080756888	kg
Newborn human baby	is	3.16227766016838	kg
A CRT computer monitor or television set	is	17.3205080756888	kg
Grand piano	is	328.6335345031	kg
Maximum gross mass of a semi-trailer truck in the EU, 40–44 tons	is	40000	kg
Largest dinosaur, Argentinosaurus, 73 tons	is	73000	kg
World's heaviest aircraft: Antonov An-225, maximum take-off mass: 600 tons, payload: 250 tons	is	600000	kg
RMS Titanic when fully loaded, 52,000 tons	is	52000000	kg
Great Pyramid of Giza	is	6000000000	kg
Amount of concrete in the Three Gorges Dam, the world's largest concrete structure	is	60000000000	kg
Earth	is	6e+24	kg
Area of a dot printed using 300 dots per inch resolution	is	7e-09	sq-meter
Area of the head of a pin	is	2e-06	sq-meter
Area of one side of a U.S. penny	is	0.00029	sq-meter
Area of a typical postage stamp	is	0.0005	sq-meter
Area of the face of a credit card	is	0.0046	sq-meter
The area of American letter paper	is	0.06	sq-meter
A parking space	is	14.142135623731	sq-meter
Size of a volleyball court, 18 × 9 metres	is	162	sq-meter
Size of an American football field	is	5400	sq-meter
the area of Vatican City	is	440000	sq-meter
the area of Los Angeles, California, USA, city	is	1290000000	sq-meter
the area of Africa	is	30000000000000	sq-meter
Land area of Earth	is	150000000000000	sq-meter
Water area of Earth	is	360000000000000	sq-meter
Total surface area of Earth	is	510000000000000	sq-meter
area of forest logged	is	60000	sq-km per year
trash generated in the US	is	4.3	pound per person per day
sea level rise	is	3	mm per year
sea level rise	is	3	mm per year
area of the average farm	is	441	ac
water usage in the US	is	80	gallon per person per day
rate of flow of water from tap 	is	10	liter per minute
cost of an employee	is	71000	USD per year per person
total time taken to build a car	is	19	hour per car
steel used to build a car	is	2400	pound per car
weight of a car	is	4000	pound per car
cost of property in the Bay area	is	1000	USD per sq-ft
cost of a new car	is	2.985075e-5	car per USD
number of cars in the Indy 500	is	33	car
cost of a new car	is	33500	USD per car
cost of a used car	is	15900	USD per car
area of a city block	is	10000	sq-meter
area of a district	is	2	sq-mi
cost of farming	corn is	700	USD per ac
cost of farming	corn is	0.001429	ac per USD
density of cars in San Francicso	is	4000	car per sq-ft
