30674	weight of an elephant	is	6000	pound
30675	olympic weight lifting record	is	263	kg
30676	marijuana in a joint	is	1	gram
30677	weight of a car	is	4000	pound
30678	oil produced by the US	is	13900000	barrel per day  
30679	oil produced by the world	is	80000000	barrel per day  
30680	cost of a meal	is	12	USD
30681	cost of a smartphone	is	500	USD
30682	cost of a laptop	is	700	USD
30683	cost of a new car	is	33500	USD
30684	cost of a used car	is	15900	USD
30685	average  cost of a house in the US	is	188900	USD
30686	average cost of a house in California	is	440000	USD
30687	average cost of a house in the Bay Area	is	1140000	USD
30688	the construction cost of The Cosmopolitan in Las Vegas	is	4160000000	USD
30689	the construction cost of One World Trade Center in New York	is	3800000000	USD
30690	the construction cost of Bellagio in Las Vegas	is	2290000000	USD
30691	the construction cost of Trump Taj Mahal in Atlantic City	is	1930000000	USD
30692	the GDP of the US	is	16700000000000	USD
30693	the GDP of California	is	1900000000000	USD
30694	average gas mileage	is	25.4	mile per gallon
30695	highway speed	is	65	mile per hour
30696	speed of a baseball pitch speed	is	105	mile per hour
30697	walking speed	is	3.1	mile per hour
30698	average cost of gas	is	2.6	USD per gallon
30699	median income	is	51900	USD per year
30700	weight of a person	is	185	pound per person
30701	an hour	is	1	hour
30702	a minute	is	1	minute
30703	a person	is	1	person
30704	a day	is	1	day
30705	a week	is	1	week
30706	a car	is	1	car
30707	Proton, 938.3 MeV/ c 2	is	1.673e-27	kg
30708	Hydrogen atom, the lightest atom	is	1.674e-27	kg
30709	DNA in a typical diploid human cell, approximate	is	6e-15	kg
30710	Small grain of sand, 0.063 mm diameter, 350 nanograms	is	3.5e-10	kg
30711	One eyebrow hair, approximate	is	7e-08	kg
30712	Fruit fly, dry weight	is	2.44948974278318e-07	kg
30713	Range of amounts of caffeine in one cup of coffee, 27–200 milligrams	is	7.34846922834953e-05	kg
30714	US dollar bill, 1 gram	is	0.001	kg
30715	Coins of one Euro and one U.S. dollar	is	0.008	kg
30716	An orange, 100–200 grams	is	0.141	kg
30717	Smallest breed of dog, Chihuahua	is	1.73205080756888	kg
30718	Typical laptop computer, 2010	is	1.73205080756888	kg
30719	Newborn human baby	is	3.16227766016838	kg
30720	A CRT computer monitor or television set	is	17.3205080756888	kg
30721	Grand piano	is	328.6335345031	kg
30722	Maximum gross mass of a semi-trailer truck in the EU, 40–44 tons	is	40000	kg
30723	Largest dinosaur, Argentinosaurus, 73 tons	is	73000	kg
30724	World's heaviest aircraft: Antonov An-225, maximum take-off mass: 600 tons, payload: 250 tons	is	600000	kg
30725	RMS Titanic when fully loaded, 52,000 tons	is	52000000	kg
30726	Great Pyramid of Giza	is	6000000000	kg
30727	Amount of concrete in the Three Gorges Dam, the world's largest concrete structure	is	60000000000	kg
30728	Earth	is	6e+24	kg
30729	Area of a dot printed using 300 dots per inch resolution	is	7e-09	sq-meter
30730	Area of the head of a pin	is	2e-06	sq-meter
30731	Area of one side of a U.S. penny	is	0.00029	sq-meter
30732	Area of a typical postage stamp	is	0.0005	sq-meter
30733	Area of the face of a credit card	is	0.0046	sq-meter
30734	The area of American letter paper	is	0.06	sq-meter
30735	A parking space	is	14.142135623731	sq-meter
30736	Size of a volleyball court, 18 × 9 metres	is	162	sq-meter
30737	Size of an American football field	is	5400	sq-meter
30738	the area of Vatican City	is	440000	sq-meter
30739	the area of Los Angeles, California, USA, city	is	1290000000	sq-meter
30740	the area of Africa	is	30000000000000	sq-meter
30741	Land area of Earth	is	150000000000000	sq-meter
30742	Water area of Earth	is	360000000000000	sq-meter
30743	Total surface area of Earth	is	510000000000000	sq-meter
30744	area of forest logged	is	60000	sq-km per year
30745	trash generated in the US	is	4.3	pound per person per day
30746	sea level rise	is	3	mm per year
30747	sea level rise	is	3	mm per year
30748	area of the average farm	is	441	ac
30749	area of the average farm	is	441	ac
30750	water usage in the US	is	80	gallon per person per day
30751	water used by a family in the US	is	300	gallon per day
30752	rate of flow of water from tap 	is	10	liter per minute
30753	cost of an employee	is	71000	USD per year per person
30754	total time taken to build a car	is	19	hour per car
30755	steel used to build a car	is	2400	pound per car
30756	weight of a car	is	4000	pound per car
30757	cost of property in the Bay area	is	1000	USD per sq-ft
30758	cost of a new car	is	2.985075e-05	car per USD
30759	number of cars in the Indy 500	is	33	car
30760	cost of a new car	is	33500	USD per car
30761	cost of a used car	is	15900	USD per car
30762	area of a city block	is	10000	sq-meter
30763	area of a district	is	2	sq-mi
